2026-02-22 00:56:56.236: [INFO] VisibilityChanged: 0
2026-02-22 00:56:56.494: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.495: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.495: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.495: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.496: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.496: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.496: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.496: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.497: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.497: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.498: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.498: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:56.518: [INFO] BookmarkModelLoaded, ids_reassigned: 0
2026-02-22 00:56:56.518: [INFO] OnDoneLoading sync enabled: 0
2026-02-22 00:56:56.574: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 0
2026-02-22 00:56:58.376: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-02-22 00:56:58.381: [INFO] Primary account changed.
2026-02-22 00:56:58.381: [INFO] OnPrimaryAccountChanged PrimaryAccountChangeEvent::Type::kSet
2026-02-22 00:56:58.385: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-02-22 00:56:58.396: [INFO] RecordSyncInitDuration has_sync_been_enabled: 0 state: 3
2026-02-22 00:57:07.475: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.476: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.476: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.476: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.477: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.477: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.477: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.478: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.478: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.478: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.479: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.479: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.479: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.480: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.480: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.480: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.480: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.480: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.481: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.481: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.481: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.482: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.482: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.482: [INFO] BookmarkNodeAdded, ABU: 0
2026-02-22 00:57:07.483: [INFO] BookmarkNodeAdded, ABU: 0
